Fiscal Year,Service,Department,Program,Expense Category,Fund,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2015,Public Safety,Police,Special Victims,Special Victims,NA,NA,Expense,Special Victims,0,6702346
2012,"Arts, Culture & Recreation",Seattle Center,Debt,Debt,NA,NA,Expense,Debt,0,135994
2015,Administration,Finance and Administrative Services,Fleet Services,Vehicle Fueling,NA,NA,Expense,Vehicle Fueling,0,10410546
2015,Administration,Finance and Administrative Services,Fleet Services,Vehicle Leasing,NA,NA,Expense,Vehicle Leasing,0,19770987
2013,"Arts, Culture & Recreation",2008 Parks Levy,2008 Parks Levy Fund BCL-1,2008 Parks Levy Fund Program,NA,NA,Expense,2008 Parks Levy Fund Program,0,
2011,"Arts, Culture & Recreation",2008 Parks Levy,Support to Multi-Purpose Trails,Support to Multi-Purpose Trails,NA,NA,Expense,Support to Multi-Purpose Trails,0,0
2010,"Arts, Culture & Recreation",2008 Parks Levy,Support to Multi-Purpose Trails,Support to Multi-Purpose Trails,NA,NA,Expense,Support to Multi-Purpose Trails,0,3500000
2015,Administration,Finance and Administrative Services,Fleet Services,Vehicle Maintenance,NA,NA,Expense,Vehicle Maintenance,0,20239666
2014,Administration,Finance General,Reserves,Seattle Indian Services Commission,NA,NA,Expense,Seattle Indian Services Commission,0,0
2014,Public Safety,Fire,Resource Management,Safety and Risk Management,NA,NA,Expense,Safety and Risk Management,0,1203000
2013,Neighborhoods & Development,Economic Development,CDBG - Office of Economic Development,Economic Development,NA,NA,Expense,Economic Development,0,3133675
2014,Public Safety,Fire,Resource Management,Support Services - Resource Mgmt,NA,NA,Expense,Support Services - Resource Mgmt,0,1735160
2015,"Arts, Culture & Recreation",2012 Library Levy,Library Levy Operating Transfer,Library Levy Operating Transfer,NA,NA,Expense,Library Levy Operating Transfer,0,13139976
2014,"Arts, Culture & Recreation",2012 Library Levy,Library Levy Operating Transfer,Library Levy Operating Transfer,NA,NA,Expense,Library Levy Operating Transfer,0,12421257
2013,"Arts, Culture & Recreation",2012 Library Levy,Library Levy Operating Transfer,Library Levy Operating Transfer,NA,NA,Expense,Library Levy Operating Transfer,0,13049781
2015,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services,NA,NA,Expense,Administrative Services,0,652869
2015,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach,NA,NA,Expense,Community Development and Outreach,0,616223
2015,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships,NA,NA,Expense,Cultural Partnerships,0,3810876
2015,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Langston Hughes Performing Arts Institute,NA,NA,Expense,Langston Hughes Performing Arts Institute,0,875117
2015,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,NA,NA,Expense,Municipal Arts Fund,0,3065271
2014,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services,NA,NA,Expense,Administrative Services,0,587501
2014,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach,NA,NA,Expense,Community Development and Outreach,0,524767
2014,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships,NA,NA,Expense,Cultural Partnerships,0,3590763
2014,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Langston Hughes Performing Arts Institute,NA,NA,Expense,Langston Hughes Performing Arts Institute,0,809180
2014,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,NA,NA,Expense,Municipal Arts Fund,0,2991732
2013,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services - AT,NA,NA,Expense,Administrative Services - AT,0,400682.81
2013,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach - AT,NA,NA,Expense,Community Development and Outreach - AT,0,518398.02
2013,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships - AT,NA,NA,Expense,Cultural Partnerships - AT,0,3030728.53
2013,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Langston Hughes Performing Arts Center - AT,NA,NA,Expense,Langston Hughes Performing Arts Center - AT,0,745698
2013,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,NA,NA,Expense,Municipal Arts Fund,0,2449820.24
2012,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services - AT,NA,NA,Expense,Administrative Services - AT,0,384163.5
2012,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach - AT,NA,NA,Expense,Community Development and Outreach - AT,0,1622271.87
2012,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships - AT,NA,NA,Expense,Cultural Partnerships - AT,0,3043099.87
2012,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,NA,NA,Expense,Municipal Arts Fund,0,2323697.83
2011,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services - AT,NA,NA,Expense,Administrative Services - AT,0,342609.44
2011,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Arts Account,NA,NA,Expense,Arts Account,0,0
2011,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach - AT,NA,NA,Expense,Community Development and Outreach - AT,0,1471779.63
2011,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships - AT,NA,NA,Expense,Cultural Partnerships - AT,0,2608686.25
2011,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Administrative Services - GF,NA,NA,Expense,Administrative Services - GF,0,0
2011,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Community Development and Outreach - GF,NA,NA,Expense,Community Development and Outreach - GF,0,0
2011,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Cultural Partnerships - GF,NA,NA,Expense,Cultural Partnerships - GF,0,0
2011,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,NA,NA,Expense,Municipal Arts Fund,0,2693359.3
2010,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services - AT,NA,NA,Expense,Administrative Services - AT,0,462514.59
2010,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Arts Account,NA,NA,Expense,Arts Account,0,1207454
2010,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach - AT,NA,NA,Expense,Community Development and Outreach - AT,0,507296.74
2010,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships - AT,NA,NA,Expense,Cultural Partnerships - AT,0,1502208.74
2010,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Administrative Services - GF,NA,NA,Expense,Administrative Services - GF,0,0
2010,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Community Development and Outreach - GF,NA,NA,Expense,Community Development and Outreach - GF,0,0
2010,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Cultural Partnerships - GF,NA,NA,Expense,Cultural Partnerships - GF,0,0
2010,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,NA,NA,Expense,Municipal Arts Fund,0,2754881.88
2015,Administration,Auditor,Office of City Auditor,Office of City Auditor,NA,NA,Expense,Office of City Auditor,0,1586256
2014,Administration,Auditor,Office of City Auditor,Office of City Auditor,NA,NA,Expense,Office of City Auditor,0,1702670
2013,Administration,Auditor,Office of City Auditor,Office of City Auditor,NA,NA,Expense,Office of City Auditor,0,1913013.63
2012,Administration,Auditor,Office of City Auditor,Office of City Auditor,NA,NA,Expense,Office of City Auditor,0,1250543.52
2011,Administration,Auditor,Office of City Auditor,Office of City Auditor,NA,NA,Expense,Office of City Auditor,0,1071896.41
2010,Administration,Auditor,Office of City Auditor,Office of City Auditor,NA,NA,Expense,Office of City Auditor,0,1167986.61
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,NA,NA,Expense,Cable Communications,0,935373
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,NA,NA,Expense,Community Technology,0,1429342
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,NA,NA,Expense,Seattle Channel/Democracy Portal,0,3627525
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,NA,NA,Expense,Technology Infrastructure,0,969079
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,NA,NA,Expense,Technology Leadership,0,407542
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,NA,NA,Expense,Web Site Support,0,924829
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,NA,NA,Expense,Citizen Literacy/Access,0,190000
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,NA,NA,Expense,Cable Communications,0,776904
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,NA,NA,Expense,Community Technology,0,1431718
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Finance and Administration,NA,NA,Expense,Finance and Administration,0,0
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,NA,NA,Expense,Seattle Channel/Democracy Portal,0,3374246
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,NA,NA,Expense,Technology Infrastructure,0,1632943
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,NA,NA,Expense,Technology Leadership,0,427054
2014,Public Safety,Fire,Resource Management,Training and Officer Development,NA,NA,Expense,Training and Officer Development,0,1846897
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,NA,NA,Expense,Web Site Support,0,1066920
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,NA,NA,Expense,Citizen Literacy/Access,0,190000
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,NA,NA,Expense,Cable Communications,0,745243.9
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,NA,NA,Expense,Community Technology,0,1333350.11
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Finance and Administration,NA,NA,Expense,Finance and Administration,0,373754
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,NA,NA,Expense,Seattle Channel/Democracy Portal,0,3149911.36
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,NA,NA,Expense,Technology Infrastructure,0,1571415.39
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,NA,NA,Expense,Technology Leadership,0,314158
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,NA,NA,Expense,Web Site Support,0,959061.19
2013,Public Safety,Fire,Administration,Communications,NA,NA,Expense,Communications,0,-0.4451
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,NA,NA,Expense,Citizen Literacy/Access,0,190000.4
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,NA,NA,Expense,Cable Communications,0,723259.9
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,NA,NA,Expense,Community Technology,0,1317207.11
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Finance and Administration,NA,NA,Expense,Finance and Administration,0,299689
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,NA,NA,Expense,Seattle Channel/Democracy Portal,0,2747014.36
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,NA,NA,Expense,Technology Infrastructure,0,1412146.39
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,NA,NA,Expense,Technology Leadership,0,264980
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,NA,NA,Expense,Web Site Support,0,1226366.19
2015,Administration,Civil Rights,Civil Rights,Civil Rights,NA,NA,Expense,Civil Rights,0,4665457
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,NA,NA,Expense,Citizen Literacy/Access,0,190000.4
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,NA,NA,Expense,Cable Communications,0,629220.9
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,NA,NA,Expense,Community Technology,0,1200253.11
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Finance and Administration,NA,NA,Expense,Finance and Administration,0,290198
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,NA,NA,Expense,Seattle Channel/Democracy Portal,0,2755454.36
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,NA,NA,Expense,Technology Infrastructure,0,1426432.39
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,NA,NA,Expense,Technology Leadership,0,276054
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,NA,NA,Expense,Web Site Support,0,783615.19
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,NA,NA,Expense,Citizen Literacy/Access,0,190000.4
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,NA,NA,Expense,Cable Communications,0,1170893.9
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,NA,NA,Expense,Community Technology,0,1402183.11
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Finance and Administration,NA,NA,Expense,Finance and Administration,0,285642
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,NA,NA,Expense,Seattle Channel/Democracy Portal,0,2899033.36
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,NA,NA,Expense,Technology Infrastructure,0,956073.39
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,NA,NA,Expense,Technology Leadership,0,306262
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,NA,NA,Expense,Web Site Support,0,775228.19
