Category: All categories

Week,diet: (United States),gym: (United States),covid: (United States)
2016-06-05,6,4,0
2016-06-12,6,4,<1
2016-06-19,6,4,0
2016-06-26,6,4,0
2016-07-03,6,5,0
2016-07-10,6,7,0
2016-07-17,6,6,0
2016-07-24,6,5,0
2016-07-31,6,5,<1
2016-08-07,6,5,<1
2016-08-14,6,4,0
2016-08-21,6,4,<1
2016-08-28,5,4,0
2016-09-04,5,4,0
2016-09-11,5,4,<1
2016-09-18,5,4,0
2016-09-25,5,3,0
2016-10-02,5,3,0
2016-10-09,5,3,0
2016-10-16,5,3,<1
2016-10-23,5,3,0
2016-10-30,5,4,0
2016-11-06,4,3,0
2016-11-13,5,4,0
2016-11-20,4,4,0
2016-11-27,5,4,<1
2016-12-04,5,4,<1
2016-12-11,4,4,0
2016-12-18,4,4,0
2016-12-25,6,4,0
2017-01-01,8,5,0
2017-01-08,7,5,0
2017-01-15,7,5,<1
2017-01-22,7,4,<1
2017-01-29,7,4,0
2017-02-05,8,4,0
2017-02-12,7,4,0
2017-02-19,7,4,0
2017-02-26,7,4,<1
2017-03-05,7,4,0
2017-03-12,7,4,<1
2017-03-19,7,4,<1
2017-03-26,7,4,<1
2017-04-02,7,4,<1
2017-04-09,7,4,0
2017-04-16,7,4,0
2017-04-23,7,4,<1
2017-04-30,7,4,0
2017-05-07,7,4,0
2017-05-14,7,4,0
2017-05-21,7,4,<1
2017-05-28,7,4,<1
2017-06-04,7,4,<1
2017-06-11,6,4,0
2017-06-18,7,4,<1
2017-06-25,7,4,0
2017-07-02,7,5,0
2017-07-09,7,4,0
2017-07-16,7,4,<1
2017-07-23,7,4,0
2017-07-30,7,4,0
2017-08-06,7,4,0
2017-08-13,6,4,<1
2017-08-20,6,4,0
2017-08-27,6,4,0
2017-09-03,6,4,0
2017-09-10,5,4,<1
2017-09-17,6,4,0
2017-09-24,6,4,<1
2017-10-01,6,4,<1
2017-10-08,6,4,0
2017-10-15,6,3,<1
2017-10-22,6,4,0
2017-10-29,6,3,0
2017-11-05,6,4,0
2017-11-12,6,4,0
2017-11-19,5,4,0
2017-11-26,6,4,0
2017-12-03,5,4,<1
2017-12-10,5,4,0
2017-12-17,5,4,0
2017-12-24,6,4,0
2017-12-31,10,5,0
2018-01-07,9,5,0
2018-01-14,8,5,0
2018-01-21,8,5,<1
2018-01-28,8,4,0
2018-02-04,8,4,<1
2018-02-11,7,4,0
2018-02-18,8,4,0
2018-02-25,8,4,0
2018-03-04,8,4,0
2018-03-11,8,4,<1
2018-03-18,8,4,0
2018-03-25,9,4,0
2018-04-01,9,4,0
2018-04-08,9,4,0
2018-04-15,8,4,<1
2018-04-22,8,4,0
2018-04-29,8,4,<1
2018-05-06,8,4,0
2018-05-13,8,4,0
2018-05-20,8,4,0
2018-05-27,8,4,0
2018-06-03,8,4,0
2018-06-10,8,4,0
2018-06-17,8,4,<1
2018-06-24,8,4,0
2018-07-01,8,4,0
2018-07-08,8,4,0
2018-07-15,8,4,0
2018-07-22,8,4,<1
2018-07-29,8,4,0
2018-08-05,8,4,0
2018-08-12,8,4,<1
2018-08-19,7,4,<1
2018-08-26,7,4,0
2018-09-02,7,4,<1
2018-09-09,7,4,0
2018-09-16,7,4,<1
2018-09-23,6,3,<1
2018-09-30,7,3,0
2018-10-07,6,3,0
2018-10-14,7,3,<1
2018-10-21,6,3,<1
2018-10-28,6,3,0
2018-11-04,6,4,0
2018-11-11,6,4,<1
2018-11-18,5,4,0
2018-11-25,6,4,<1
2018-12-02,6,4,0
2018-12-09,6,4,0
2018-12-16,5,4,<1
2018-12-23,7,4,0
2018-12-30,11,5,0
2019-01-06,10,5,<1
2019-01-13,9,5,0
2019-01-20,8,5,0
2019-01-27,9,4,<1
2019-02-03,8,4,<1
2019-02-10,7,4,0
2019-02-17,7,4,0
2019-02-24,7,4,0
2019-03-03,8,4,<1
2019-03-10,7,4,0
2019-03-17,7,4,<1
2019-03-24,7,4,0
2019-03-31,9,4,0
2019-04-07,8,4,0
2019-04-14,8,4,<1
2019-04-21,7,4,0
2019-04-28,7,3,<1
2019-05-05,7,4,0
2019-05-12,7,4,<1
2019-05-19,7,4,<1
2019-05-26,6,4,<1
2019-06-02,7,4,0
2019-06-09,6,4,0
2019-06-16,6,4,0
2019-06-23,7,4,<1
2019-06-30,6,4,0
2019-07-07,7,4,<1
2019-07-14,6,4,<1
2019-07-21,6,4,<1
2019-07-28,6,4,<1
2019-08-04,6,4,0
2019-08-11,6,4,0
2019-08-18,6,4,<1
2019-08-25,6,4,<1
2019-09-01,6,4,0
2019-09-08,6,4,<1
2019-09-15,6,4,<1
2019-09-22,6,3,0
2019-09-29,6,3,<1
2019-10-06,6,4,<1
2019-10-13,5,3,<1
2019-10-20,6,3,0
2019-10-27,6,3,0
2019-11-03,6,4,0
2019-11-10,6,4,0
2019-11-17,5,4,<1
2019-11-24,5,4,<1
2019-12-01,5,4,0
2019-12-08,5,4,<1
2019-12-15,5,4,0
2019-12-22,5,5,0
2019-12-29,8,5,<1
2020-01-05,8,5,0
2020-01-12,7,5,0
2020-01-19,7,5,0
2020-01-26,7,4,0
2020-02-02,6,4,0
2020-02-09,6,4,<1
2020-02-16,7,4,<1
2020-02-23,7,4,2
2020-03-01,6,4,7
2020-03-08,5,4,30
2020-03-15,3,5,80
2020-03-22,4,3,97
2020-03-29,4,3,99
2020-04-05,4,3,84
2020-04-12,4,3,67
2020-04-19,5,3,62
2020-04-26,5,3,60
2020-05-03,5,3,55
2020-05-10,5,3,54
2020-05-17,5,4,52
2020-05-24,5,3,47
2020-05-31,5,3,38
2020-06-07,6,4,44
2020-06-14,5,4,52
2020-06-21,5,4,67
2020-06-28,5,4,79
2020-07-05,6,3,79
2020-07-12,5,3,87
2020-07-19,6,3,71
2020-07-26,5,3,70
2020-08-02,5,3,63
2020-08-09,5,3,57
2020-08-16,5,3,49
2020-08-23,5,3,45
2020-08-30,5,3,47
2020-09-06,5,3,43
2020-09-13,5,3,40
2020-09-20,5,3,42
2020-09-27,5,3,53
2020-10-04,5,3,57
2020-10-11,5,3,51
2020-10-18,5,3,52
2020-10-25,5,3,57
2020-11-01,4,3,49
2020-11-08,4,3,80
2020-11-15,4,3,100
2020-11-22,4,3,77
2020-11-29,4,3,81
2020-12-06,4,3,85
2020-12-13,4,3,88
2020-12-20,4,3,86
2020-12-27,5,4,90
2021-01-03,6,4,86
2021-01-10,6,4,91
2021-01-17,5,4,84
2021-01-24,5,3,83
2021-01-31,5,4,76
2021-02-07,6,3,73
2021-02-14,5,4,62
2021-02-21,6,4,69
2021-02-28,6,4,78
2021-03-07,5,4,85
2021-03-14,5,4,74
2021-03-21,5,4,77
2021-03-28,5,4,77
2021-04-04,5,4,74
2021-04-11,5,4,62
2021-04-18,5,4,55
2021-04-25,5,3,59
2021-05-02,5,4,49
2021-05-09,5,4,48
2021-05-16,5,4,43
2021-05-23,5,4,37
2021-05-30,5,4,30
