Category: All categories

Week,diet: (United States),gym: (United States),finance: (United States)
2016-06-05,54,36,40
2016-06-12,52,34,36
2016-06-19,51,34,40
2016-06-26,50,36,42
2016-07-03,51,44,35
2016-07-10,51,62,39
2016-07-17,51,51,37
2016-07-24,51,47,38
2016-07-31,52,44,37
2016-08-07,52,42,37
2016-08-14,50,39,35
2016-08-21,49,38,35
2016-08-28,48,37,35
2016-09-04,47,37,33
2016-09-11,48,34,36
2016-09-18,48,33,36
2016-09-25,45,30,37
2016-10-02,44,30,34
2016-10-09,44,30,35
2016-10-16,44,31,36
2016-10-23,43,30,36
2016-10-30,45,32,37
2016-11-06,38,29,40
2016-11-13,44,32,38
2016-11-20,34,33,29
2016-11-27,44,34,37
2016-12-04,41,34,37
2016-12-11,39,33,36
2016-12-18,37,35,33
2016-12-25,50,39,29
2017-01-01,71,48,35
2017-01-08,65,44,36
2017-01-15,62,43,34
2017-01-22,61,39,37
2017-01-29,66,39,39
2017-02-05,74,38,38
2017-02-12,62,36,38
2017-02-19,66,38,37
2017-02-26,63,38,40
2017-03-05,63,36,37
2017-03-12,60,36,35
2017-03-19,62,36,37
2017-03-26,61,37,37
2017-04-02,59,35,37
2017-04-09,57,35,35
2017-04-16,61,34,36
2017-04-23,60,33,38
2017-04-30,59,34,40
2017-05-07,60,33,39
2017-05-14,59,34,38
2017-05-21,59,37,34
2017-05-28,58,39,33
2017-06-04,59,38,36
2017-06-11,56,35,36
2017-06-18,60,39,36
2017-06-25,61,40,37
2017-07-02,60,40,33
2017-07-09,63,38,36
2017-07-16,61,38,38
2017-07-23,63,38,37
2017-07-30,61,38,38
2017-08-06,61,38,37
2017-08-13,55,36,36
2017-08-20,53,35,35
2017-08-27,51,35,35
2017-09-03,50,34,31
2017-09-10,47,33,36
2017-09-17,53,31,37
2017-09-24,52,33,36
2017-10-01,51,32,37
2017-10-08,54,32,37
2017-10-15,51,30,38
2017-10-22,51,31,37
2017-10-29,50,30,40
2017-11-05,51,34,39
2017-11-12,51,33,39
2017-11-19,40,34,30
2017-11-26,51,33,56
2017-12-03,47,32,58
2017-12-10,46,33,55
2017-12-17,42,33,51
2017-12-24,53,39,41
2017-12-31,86,46,49
2018-01-07,78,43,55
2018-01-14,72,45,51
2018-01-21,72,42,55
2018-01-28,71,38,50
2018-02-04,70,37,54
2018-02-11,64,35,43
2018-02-18,69,39,39
2018-02-25,68,37,42
2018-03-04,67,36,42
2018-03-11,69,36,40
2018-03-18,74,36,45
2018-03-25,77,34,42
2018-04-01,77,35,43
2018-04-08,76,36,42
2018-04-15,72,32,40
2018-04-22,74,33,40
2018-04-29,74,32,41
2018-05-06,73,33,39
2018-05-13,69,33,38
2018-05-20,71,34,40
2018-05-27,67,39,35
2018-06-03,70,35,39
2018-06-10,70,36,40
2018-06-17,66,34,38
2018-06-24,68,35,38
2018-07-01,70,37,34
2018-07-08,74,37,39
2018-07-15,69,35,36
2018-07-22,74,37,40
2018-07-29,72,36,40
2018-08-05,72,36,40
2018-08-12,70,36,39
2018-08-19,66,36,39
2018-08-26,63,34,39
2018-09-02,61,35,35
2018-09-09,58,32,38
2018-09-16,60,33,39
2018-09-23,56,30,38
2018-09-30,59,30,39
2018-10-07,56,30,40
2018-10-14,58,29,41
2018-10-21,52,29,39
2018-10-28,54,29,41
2018-11-04,54,32,37
2018-11-11,51,33,37
2018-11-18,43,36,31
2018-11-25,53,35,37
2018-12-02,50,33,40
2018-12-09,48,34,40
2018-12-16,45,36,39
2018-12-23,58,38,32
2018-12-30,100,47,36
2019-01-06,89,44,41
2019-01-13,80,42,37
2019-01-20,72,40,36
2019-01-27,75,39,41
2019-02-03,71,36,40
2019-02-10,63,36,39
2019-02-17,65,38,37
2019-02-24,65,36,41
2019-03-03,68,36,38
2019-03-10,64,37,40
2019-03-17,65,35,38
2019-03-24,64,34,38
2019-03-31,76,34,38
2019-04-07,68,32,37
2019-04-14,66,32,36
2019-04-21,65,31,39
2019-04-28,64,31,40
2019-05-05,58,32,40
2019-05-12,59,33,41
2019-05-19,59,33,37
2019-05-26,56,35,35
2019-06-02,58,36,39
2019-06-09,56,35,40
2019-06-16,57,36,39
2019-06-23,59,36,40
2019-06-30,55,35,33
2019-07-07,57,36,38
2019-07-14,57,34,39
2019-07-21,56,34,40
2019-07-28,56,35,46
2019-08-04,54,35,59
2019-08-11,57,34,61
2019-08-18,53,36,61
2019-08-25,49,34,48
2019-09-01,49,35,38
2019-09-08,50,32,39
2019-09-15,49,31,40
2019-09-22,50,30,38
